ID,Eng,RL,Math,Physics,Chemistry,Biology,Computer,History,Geography
253,30,32,31,51,90,43,83,50,85
254,36,21,90,86,26,90,65,84,54
255,77,50,24,74,41,26,99,27,22
256,48,82,37,44,20,73,78,97,36
257,27,100,56,84,21,27,99,38,68
258,54,22,42,22,66,42,41,46,40
259,84,100,21,42,27,84,96,98,39
260,24,39,81,86,99,23,78,54,93
261,74,80,20,58,92,32,21,75,43
262,52,61,78,73,39,46,48,76,54
263,69,54,58,67,40,26,50,37,50
264,100,55,21,89,46,89,87,53,30
265,73,51,51,77,27,88,32,22,33
266,28,52,31,74,96,79,66,87,35
267,76,84,28,53,96,59,80,49,76
268,73,31,100,54,42,65,64,78,53
269,70,39,23,82,71,68,91,52,69
270,60,63,76,53,89,70,31,27,21
271,69,63,93,89,29,54,55,25,71
272,43,47,93,82,89,56,20,72,20
273,24,22,88,32,45,100,57,38,64
274,83,50,58,35,33,44,79,78,97
275,96,68,34,87,88,58,23,35,71
276,73,24,97,69,39,72,100,97,48
277,26,62,61,48,50,25,21,75,54
278,53,72,27,55,81,28,41,68,24
279,48,85,92,26,72,54,36,31,77
280,90,94,90,46,39,36,74,53,75
281,75,34,54,53,84,48,91,32,56
282,20,61,60,36,95,39,79,54,91
283,34,95,82,74,58,87,28,49,55
284,33,31,77,72,29,65,46,64,25
285,87,100,98,56,25,43,54,28,85
286,87,60,41,35,76,98,88,96,68
287,82,47,86,46,21,24,52,82,64
288,25,50,82,22,39,92,84,61,80
289,83,100,60,46,75,74,39,94,91
290,28,33,72,80,55,71,25,62,90
291,54,86,67,83,95,39,73,60,54
292,50,26,30,63,94,54,64,92,93
293,77,46,77,39,46,75,83,48,89
294,48,48,78,39,99,31,79,48,34
295,80,30,70,86,86,66,77,46,53
296,78,84,92,56,62,92,27,78,97
297,26,48,21,62,41,72,67,63,42
298,43,52,28,56,40,44,51,48,31
299,32,100,51,87,51,33,24,27,43
300,50,65,26,47,78,98,34,67,95
301,83,95,54,63,95,26,83,46,61
302,99,79,45,82,87,64,87,94,92
303,93,76,50,23,37,100,90,25,88
304,68,31,21,32,55,52,55,88,56
305,24,80,79,75,87,28,71,87,29
306,58,81,90,76,59,76,75,78,82
307,40,53,98,45,28,49,70,36,56
308,75,21,93,25,26,71,97,61,61
309,90,51,45,76,71,46,66,67,30
310,40,39,61,66,100,97,82,66,55
311,26,29,86,68,46,42,27,61,56
312,97,44,90,76,68,100,34,75,67
313,64,21,43,70,30,93,83,56,23
314,88,94,79,63,25,45,95,67,72
315,67,50,31,59,91,79,61,50,40
316,22,83,26,56,30,86,26,49,90
317,32,26,39,20,97,40,69,78,52
318,80,51,97,32,98,29,38,58,54
319,76,95,69,21,30,90,36,92,80
320,93,35,75,34,28,91,41,77,33
321,66,43,29,31,90,84,96,67,54
322,45,99,99,57,45,57,30,41,67
323,36,93,30,80,84,38,38,64,93
324,72,69,72,41,89,98,58,43,23
325,32,60,33,26,20,86,90,59,96
326,65,91,22,20,37,62,67,42,60
327,22,83,80,75,43,21,98,94,73
328,76,79,93,93,40,82,64,53,20
329,53,94,57,68,64,66,35,43,81
330,31,82,29,88,28,99,43,43,51
331,68,53,70,85,86,58,48,74,41
332,80,48,70,43,52,99,98,96,85
333,91,26,91,96,61,49,39,44,32
334,43,67,41,62,95,50,36,41,46
335,39,41,76,81,47,33,76,52,94
336,62,67,25,50,88,21,76,23,94
337,69,37,44,87,79,23,32,100,87
338,97,34,32,65,49,46,43,46,39
339,78,92,57,98,37,78,23,64,32
340,41,68,44,55,52,42,66,37,23
341,47,42,79,90,63,25,61,80,78
342,49,60,27,78,82,41,100,77,53
343,51,49,69,56,91,79,37,71,78
344,27,80,63,85,58,23,22,83,40
345,94,75,67,70,88,26,90,69,24
346,26,45,59,83,98,79,53,69,82
347,37,50,48,54,77,77,34,59,78
348,63,38,31,45,83,74,87,29,45
349,53,25,94,55,44,76,50,37,37
350,24,85,99,80,63,68,50,61,25
351,54,21,43,84,65,76,71,56,47
352,31,37,23,47,85,73,67,64,97
353,54,57,42,39,52,36,40,38,95
354,80,29,35,54,23,81,92,82,42
355,29,88,87,81,92,77,27,40,61
356,78,37,54,26,31,47,83,39,92
357,51,25,61,49,87,97,21,91,24
358,57,62,77,92,66,87,89,95,35
359,65,57,21,66,90,46,58,42,95
360,43,22,26,65,95,85,68,70,70
361,91,50,54,77,83,46,73,23,90
362,83,30,23,45,44,53,74,56,78
363,57,22,48,31,85,51,70,25,87
364,68,43,57,48,33,83,92,34,66
365,100,93,45,31,57,76,71,52,93
366,77,60,86,96,50,98,24,55,36
367,72,64,98,92,56,96,93,89,51
368,59,34,82,28,96,74,86,85,68
369,49,55,56,26,52,88,28,70,53
370,39,58,53,55,75,69,34,27,24
371,71,23,51,31,79,30,26,30,29
372,30,56,25,43,96,60,83,87,59
373,93,47,96,60,70,55,79,68,79
374,92,51,89,33,21,90,34,49,42
375,57,20,24,49,61,70,21,23,47
376,33,24,80,46,20,62,77,40,51
377,36,48,77,61,99,54,34,80,76
378,77,37,68,24,29,97,92,46,76
379,97,77,61,35,95,57,86,71,58
380,36,72,93,81,92,83,50,66,76
381,53,81,61,64,98,97,39,31,90
382,53,99,75,78,71,95,31,25,46
383,84,62,46,72,73,86,74,59,67
384,66,46,79,73,25,41,36,24,49
385,100,74,89,24,58,46,48,60,73
386,28,53,38,38,51,58,45,86,100
387,61,56,28,97,97,99,72,76,40
388,98,84,96,88,75,71,56,87,67
389,36,98,95,94,71,47,100,32,27
390,66,45,78,75,80,57,77,61,88
391,23,59,25,82,73,81,99,47,38
392,63,38,36,52,71,59,48,31,99
393,42,20,83,85,64,52,69,85,63
394,88,89,47,80,57,77,80,76,57
395,84,94,35,23,49,49,70,24,61
396,72,68,38,99,83,98,55,95,94
397,40,54,69,55,72,25,24,45,93
398,68,75,38,71,100,43,38,28,38
399,82,86,81,26,42,51,40,29,41
400,33,71,73,26,25,76,56,26,63
