ID,Eng,RL,Math,Physics,Chemistry,Biology,Computer,History,Geography
386,92,57,37,49,82,56,65,20,61
387,80,84,88,32,40,79,83,97,70
388,45,67,49,93,20,21,90,74,57
389,44,74,53,56,30,81,49,84,66
390,95,76,65,64,27,75,25,76,64
391,96,47,90,30,56,62,75,49,21
392,96,50,42,99,66,98,78,39,50
393,78,53,91,43,22,27,80,33,96
394,80,85,41,67,36,60,84,31,99
395,80,28,24,20,25,35,50,45,78
396,97,46,76,88,76,86,27,64,89
397,21,50,68,25,71,23,41,89,49
398,45,38,80,43,29,68,40,75,56
399,25,79,56,61,38,54,33,23,33
400,77,26,56,36,28,47,30,25,42
